date,temperature_2m_max,temperature_2m_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max,month
2024-04-01 00:00:00+00:00,30.3335,16.7335,0,0,44506.33,41930.062,9.25,9.45,0.0,4
2024-04-02 00:00:00+00:00,29.7335,17.3335,0,0,44575.52,41997.676,9.45,9.5,0.0,4
2024-04-03 00:00:00+00:00,30.9835,13.1835,0,0,44644.777,42065.375,9.5,9.5,0.0,4
2024-04-04 00:00:00+00:00,30.1335,11.1835,0,0,44714.152,42133.03,9.35,9.45,0.0,4
2024-04-05 00:00:00+00:00,30.5835,12.4335,0,0,44783.598,39341.78,9.1,9.5,0.0,4
2024-04-06 00:00:00+00:00,31.9835,15.0835,0,0,44853.066,39512.047,8.85,9.55,0.0,4
2024-04-07 00:00:00+00:00,32.1835,14.3835,0,0,44922.52,42335.39,9.4,9.5,0.0,4
2024-04-08 00:00:00+00:00,32.4335,14.7835,0,0,44991.9,42402.48,9.55,9.55,0.0,4
2024-04-09 00:00:00+00:00,31.183498,15.1335,0,0,45061.164,42469.316,9.45,9.55,0.0,4
2024-04-10 00:00:00+00:00,30.183498,15.7835,0,0,45130.266,42535.86,9.5,9.5,0.0,4
2024-04-11 00:00:00+00:00,31.5835,14.8335,0,0,45199.156,42560.414,9.15,9.55,0.0,4
2024-04-12 00:00:00+00:00,31.5835,17.3835,0,0,45267.785,42577.42,9.2,9.55,0.0,4
2024-04-13 00:00:00+00:00,32.8835,18.783499,0,0,45336.105,38259.203,9.0,9.6,0.0,4
2024-04-14 00:00:00+00:00,33.6835,19.683498,0,0,45404.066,39765.027,7.1,9.6,0.0,4
2024-04-15 00:00:00+00:00,33.8335,18.933498,0,0,45471.617,36519.07,8.65,9.6,0.0,4
2024-04-16 00:00:00+00:00,34.7835,18.8335,0,0,45538.707,42646.55,9.6,9.65,0.0,4
2024-04-17 00:00:00+00:00,34.7835,18.8335,0,0,45605.277,42664.21,9.65,9.65,0.0,4
2024-04-18 00:00:00+00:00,34.4335,17.1335,0,0,45671.28,42682.08,9.65,9.65,0.0,4
2024-04-19 00:00:00+00:00,34.2835,17.783499,0,0,45736.66,42700.164,9.65,9.65,0.0,4
2024-04-20 00:00:00+00:00,33.6835,17.533499,0,0,45801.367,42718.484,9.65,9.65,0.0,4
2024-04-21 00:00:00+00:00,34.3835,16.7335,0,0,45865.336,42767.227,9.65,9.65,0.0,4
2024-04-22 00:00:00+00:00,34.0835,17.1335,0,0,45928.598,42784.15,9.6,9.6,0.0,4
2024-04-23 00:00:00+00:00,33.1335,16.2335,0,0,45991.62,42853.215,9.6,9.6,0.0,4
2024-04-24 00:00:00+00:00,33.733498,16.8335,0,0,46054.45,42872.484,9.6,9.6,0.0,4
2024-04-25 00:00:00+00:00,33.5335,16.783499,0,0,46117.023,42813.953,9.65,9.65,0.0,4
2024-04-26 00:00:00+00:00,31.5835,17.7335,0,0,46179.305,40767.516,8.55,9.6,0.0,4
2024-04-27 00:00:00+00:00,32.1835,14.3335,0,0,46241.234,42865.652,9.25,9.65,0.0,4
2024-04-28 00:00:00+00:00,31.533499,14.1835,0,0,46302.77,43143.17,9.65,9.65,0.0,4
2024-04-29 00:00:00+00:00,32.5335,14.7835,0,0,46363.85,43100.492,9.6,9.6,0.0,4
2024-04-30 00:00:00+00:00,33.483498,16.1335,0,0,46424.438,43192.84,9.25,9.65,0.0,4
