date,temperature_2m,precipitation_probability,wind_speed_10m,uv_index,uv_index_clear_sky,is_day,sunshine_duration,direct_radiation,month
2024-01-01 00:00:00+00:00,21.5455,0.0,10.009036,0.65,0.75,1.0,1556.5057,20.0,1
2024-01-01 01:00:00+00:00,19.0455,0.0,6.1305785,0.05,0.05,0.0,0.0,0.0,1
2024-01-01 02:00:00+00:00,17.1455,0.0,3.5455887,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 03:00:00+00:00,15.445499,0.0,3.8773184,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 04:00:00+00:00,13.445499,0.0,4.6102495,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 05:00:00+00:00,12.0455,0.0,4.6102495,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 06:00:00+00:00,11.195499,0.0,4.39436,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 07:00:00+00:00,10.445499,0.0,4.0249224,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 08:00:00+00:00,9.9955,0.0,4.0249224,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 09:00:00+00:00,9.5955,0.0,2.5959969,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 10:00:00+00:00,8.9955,0.0,2.9024127,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 11:00:00+00:00,8.945499,0.0,2.5959969,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 12:00:00+00:00,8.8955,0.0,2.1897945,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 13:00:00+00:00,9.4955,0.0,1.484318,0.0,0.0,0.0,0.0,0.0,1
2024-01-01 14:00:00+00:00,9.5955,0.0,1.2979984,0.05,0.05,1.0,0.0,2.0,1
2024-01-01 15:00:00+00:00,10.7955,0.0,0.8049845,0.9,0.9,1.0,3600.0,58.0,1
2024-01-01 16:00:00+00:00,14.195499,0.0,1.484318,2.25,2.5,1.0,3600.0,229.0,1
2024-01-01 17:00:00+00:00,17.2955,0.0,4.0249224,3.9,4.25,1.0,3600.0,407.0,1
2024-01-01 18:00:00+00:00,19.9955,0.0,3.8773184,5.05,5.65,1.0,3600.0,565.0,1
2024-01-01 19:00:00+00:00,21.595499,0.0,6.3690495,5.4,6.35,1.0,3600.0,478.0,1
2024-01-01 20:00:00+00:00,22.6455,0.0,8.217153,5.3,6.3,1.0,3600.0,272.0,1
2024-01-01 21:00:00+00:00,23.2455,0.0,9.0,4.65,5.5,1.0,3600.0,338.0,1
2024-01-01 22:00:00+00:00,23.3955,0.0,7.92,3.4,4.1,1.0,3600.0,438.0,1
2024-01-01 23:00:00+00:00,22.8955,0.0,6.379216,2.1,2.35,1.0,3600.0,171.0,1
2024-01-02 00:00:00+00:00,22.2955,0.0,4.6938252,0.75,0.75,1.0,3600.0,41.0,1
2024-01-02 01:00:00+00:00,20.2455,0.0,5.937272,0.05,0.05,0.0,0.0,0.0,1
2024-01-02 02:00:00+00:00,18.3955,0.0,7.9932976,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 03:00:00+00:00,17.7455,0.0,6.489992,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 04:00:00+00:00,16.7955,0.0,5.0911684,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 05:00:00+00:00,15.9955,0.0,4.8965297,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 06:00:00+00:00,14.945499,0.0,3.8939953,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 07:00:00+00:00,14.445499,0.0,4.0249224,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 08:00:00+00:00,14.1455,0.0,3.8773184,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 09:00:00+00:00,13.9955,0.0,3.7064266,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 10:00:00+00:00,13.445499,0.0,3.6,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 11:00:00+00:00,12.4955,0.0,3.6,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 12:00:00+00:00,11.195499,0.0,2.5455842,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 13:00:00+00:00,10.4955,0.0,2.8799999,0.0,0.0,0.0,0.0,0.0,1
2024-01-02 14:00:00+00:00,10.0955,0.0,2.3051248,0.05,0.05,1.0,0.0,0.0,1
2024-01-02 15:00:00+00:00,11.2455,0.0,1.2979984,0.75,0.9,1.0,0.0,0.0,1
2024-01-02 16:00:00+00:00,14.3955,0.0,2.2768397,2.2,2.55,1.0,2143.427,52.0,1
2024-01-02 17:00:00+00:00,17.0455,0.0,2.6208394,3.25,4.25,1.0,3600.0,116.0,1
2024-01-02 18:00:00+00:00,18.845499,0.0,0.5091169,5.25,5.65,1.0,3600.0,288.0,1
2024-01-02 19:00:00+00:00,19.845499,0.0,3.0758414,6.25,6.4,1.0,1632.1106,82.0,1
2024-01-02 20:00:00+00:00,21.2955,0.0,6.6087217,5.75,6.35,1.0,3600.0,220.0,1
2024-01-02 21:00:00+00:00,22.1455,0.0,9.931042,4.2,5.55,1.0,3600.0,133.0,1
2024-01-02 22:00:00+00:00,22.2455,0.0,12.24,3.35,4.1,1.0,1099.0393,52.0,1
2024-01-02 23:00:00+00:00,21.7455,0.0,12.0694,1.7,2.35,1.0,3600.0,88.0,1
2024-01-03 00:00:00+00:00,19.7955,0.0,6.8399997,0.55,0.75,1.0,16.70494,11.0,1
2024-01-03 01:00:00+00:00,18.1955,0.0,5.2416787,0.05,0.05,0.0,0.0,0.0,1
2024-01-03 02:00:00+00:00,16.6955,0.0,5.0528407,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 03:00:00+00:00,15.0455,0.0,4.896529,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 04:00:00+00:00,13.445499,0.0,4.1046314,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 05:00:00+00:00,11.8955,0.0,4.1046314,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 06:00:00+00:00,11.2955,0.0,2.5959969,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 07:00:00+00:00,10.945499,0.0,2.4149535,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 08:00:00+00:00,10.695499,0.0,2.5959969,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 09:00:00+00:00,10.2455,0.0,2.3051248,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 10:00:00+00:00,9.7955,0.0,2.0364676,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 11:00:00+00:00,9.445499,0.0,2.0364676,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 12:00:00+00:00,9.695499,0.0,1.5273507,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 13:00:00+00:00,9.445499,0.0,1.609969,0.0,0.0,0.0,0.0,0.0,1
2024-01-03 14:00:00+00:00,9.1455,0.0,2.0991426,0.05,0.05,1.0,0.0,4.0,1
2024-01-03 15:00:00+00:00,10.7455,0.0,1.08,0.9,0.9,1.0,3600.0,103.0,1
2024-01-03 16:00:00+00:00,14.2455,0.0,2.4149535,2.55,2.55,1.0,3600.0,318.0,1
2024-01-03 17:00:00+00:00,17.3955,0.0,3.7064266,4.3,4.3,1.0,3600.0,501.0,1
2024-01-03 18:00:00+00:00,19.5455,0.0,2.9024127,5.65,5.65,1.0,3600.0,637.0,1
2024-01-03 19:00:00+00:00,21.4955,0.0,1.609969,6.4,6.4,1.0,3600.0,707.0,1
2024-01-03 20:00:00+00:00,23.095499,0.0,2.7416782,6.35,6.35,1.0,3600.0,706.0,1
2024-01-03 21:00:00+00:00,24.3955,0.0,4.6938257,5.55,5.55,1.0,3600.0,631.0,1
2024-01-03 22:00:00+00:00,25.1955,0.0,6.618519,4.1,4.15,1.0,3600.0,490.0,1
2024-01-03 23:00:00+00:00,24.845499,0.0,10.24578,2.4,2.4,1.0,3600.0,301.0,1
2024-01-04 00:00:00+00:00,23.6955,0.0,9.114471,0.8,0.8,1.0,3600.0,94.0,1
2024-01-04 01:00:00+00:00,20.8955,0.0,6.130579,0.05,0.05,0.0,0.0,3.0,1
2024-01-04 02:00:00+00:00,18.3955,0.0,5.1165614,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 03:00:00+00:00,15.4955,0.0,6.193674,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 04:00:00+00:00,14.0455,0.0,5.3999996,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 05:00:00+00:00,12.945499,0.0,3.8268526,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 06:00:00+00:00,12.195499,0.0,3.563818,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 07:00:00+00:00,11.6455,0.0,2.8116899,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 08:00:00+00:00,11.195499,0.0,2.5959969,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 09:00:00+00:00,10.7455,0.0,1.9386592,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 10:00:00+00:00,10.3455,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 11:00:00+00:00,9.7955,0.0,1.484318,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 12:00:00+00:00,9.4955,0.0,1.5273507,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 13:00:00+00:00,9.1455,0.0,1.609969,0.0,0.0,0.0,0.0,0.0,1
2024-01-04 14:00:00+00:00,8.6455,0.0,2.6208394,0.05,0.05,1.0,0.0,4.0,1
2024-01-04 15:00:00+00:00,10.2455,0.0,1.08,0.85,0.9,1.0,3600.0,85.0,1
2024-01-04 16:00:00+00:00,13.5955,0.0,1.0182338,2.5,2.5,1.0,3600.0,185.0,1
2024-01-04 17:00:00+00:00,16.7455,0.0,1.835647,4.25,4.25,1.0,3600.0,283.0,1
2024-01-04 18:00:00+00:00,19.4455,0.0,1.1384199,5.65,5.65,1.0,3600.0,618.0,1
2024-01-04 19:00:00+00:00,21.4955,0.0,4.3349743,6.35,6.4,1.0,3600.0,666.0,1
2024-01-04 20:00:00+00:00,23.2455,0.0,7.289445,6.4,6.4,1.0,3600.0,661.0,1
2024-01-04 21:00:00+00:00,24.2955,0.0,11.435313,5.6,5.6,1.0,3600.0,622.0,1
2024-01-04 22:00:00+00:00,24.4455,0.0,14.973577,4.15,4.15,1.0,3600.0,495.0,1
2024-01-04 23:00:00+00:00,23.595499,0.0,15.484185,2.4,2.4,1.0,3600.0,305.0,1
2024-01-05 00:00:00+00:00,22.4455,0.0,12.605142,0.8,0.8,1.0,3600.0,103.0,1
2024-01-05 01:00:00+00:00,19.5455,0.0,7.208994,0.05,0.05,0.0,0.0,3.0,1
2024-01-05 02:00:00+00:00,16.9455,0.0,5.3517847,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 03:00:00+00:00,14.945499,0.0,4.6938257,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 04:00:00+00:00,13.195499,0.0,4.5820518,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 05:00:00+00:00,12.0455,0.0,4.5820518,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 06:00:00+00:00,12.0455,0.0,3.8268526,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 07:00:00+00:00,11.3455,0.0,3.396233,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 08:00:00+00:00,10.7455,0.0,3.8773184,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 09:00:00+00:00,10.2955,0.0,3.319036,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 10:00:00+00:00,9.945499,0.0,2.9024127,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 11:00:00+00:00,9.6455,0.0,2.5455842,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 12:00:00+00:00,9.5455,0.0,1.609969,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 13:00:00+00:00,9.1455,0.0,2.0364676,0.0,0.0,0.0,0.0,0.0,1
2024-01-05 14:00:00+00:00,8.5955,0.0,1.9386592,0.05,0.05,1.0,0.0,5.0,1
2024-01-05 15:00:00+00:00,10.3955,0.0,0.8049845,0.9,0.9,1.0,3600.0,121.0,1
2024-01-05 16:00:00+00:00,14.4955,0.0,1.835647,2.55,2.55,1.0,3600.0,324.0,1
2024-01-05 17:00:00+00:00,17.2455,0.0,1.484318,4.05,4.3,1.0,3600.0,501.0,1
2024-01-05 18:00:00+00:00,19.6955,0.0,4.5536795,5.7,5.7,1.0,3600.0,628.0,1
2024-01-05 19:00:00+00:00,21.845499,0.0,8.534353,6.45,6.45,1.0,3600.0,668.0,1
2024-01-05 20:00:00+00:00,23.5455,0.0,15.509274,6.45,6.45,1.0,3600.0,683.0,1
2024-01-05 21:00:00+00:00,23.595499,0.0,18.94024,5.7,5.7,1.0,3600.0,553.0,1
2024-01-05 22:00:00+00:00,23.4955,0.0,19.881649,4.25,4.25,1.0,3600.0,408.0,1
2024-01-05 23:00:00+00:00,22.9455,0.0,19.296133,2.45,2.45,1.0,3600.0,309.0,1
2024-01-06 00:00:00+00:00,21.845499,0.0,14.494192,0.8,0.85,1.0,3600.0,72.0,1
2024-01-06 01:00:00+00:00,19.845499,0.0,6.9899354,0.05,0.05,0.0,0.0,0.0,1
2024-01-06 02:00:00+00:00,17.9955,0.0,5.154415,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 03:00:00+00:00,15.6455,0.0,4.5820518,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 04:00:00+00:00,13.5955,0.0,4.6938257,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 05:00:00+00:00,12.5955,0.0,3.6,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 06:00:00+00:00,11.4955,0.0,3.0547013,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 07:00:00+00:00,10.8455,0.0,3.096837,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 08:00:00+00:00,10.2455,0.0,3.5455887,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 09:00:00+00:00,9.695499,0.0,3.219938,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 10:00:00+00:00,9.195499,0.0,2.0991426,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 11:00:00+00:00,8.7955,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 12:00:00+00:00,7.8954997,0.0,1.1384199,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 13:00:00+00:00,7.8954997,0.0,0.71999997,0.0,0.0,0.0,0.0,0.0,1
2024-01-06 14:00:00+00:00,7.8455,0.0,1.8,0.05,0.05,1.0,0.10210663,5.0,1
2024-01-06 15:00:00+00:00,9.195499,0.0,1.609969,0.9,0.9,1.0,3600.0,114.0,1
2024-01-06 16:00:00+00:00,13.3455,0.0,2.4149535,2.5,2.5,1.0,3600.0,319.0,1
2024-01-06 17:00:00+00:00,16.5455,0.0,3.319036,4.3,4.3,1.0,3600.0,499.0,1
2024-01-06 18:00:00+00:00,19.095499,0.0,1.1384199,5.7,5.7,1.0,3600.0,631.0,1
2024-01-06 19:00:00+00:00,21.3955,0.0,5.95906,6.5,6.5,1.0,3600.0,703.0,1
2024-01-06 20:00:00+00:00,23.7455,0.0,11.620809,6.45,6.45,1.0,3600.0,705.0,1
2024-01-06 21:00:00+00:00,24.3955,0.0,17.298738,5.7,5.7,1.0,3600.0,627.0,1
2024-01-06 22:00:00+00:00,23.9455,0.0,20.774214,4.25,4.25,1.0,3600.0,483.0,1
2024-01-06 23:00:00+00:00,22.845499,0.0,20.633371,2.4,2.45,1.0,3600.0,287.0,1
2024-01-07 00:00:00+00:00,20.9955,0.0,15.496736,0.85,0.85,1.0,3600.0,102.0,1
2024-01-07 01:00:00+00:00,18.7455,0.0,10.308831,0.05,0.05,0.0,0.0,3.0,1
2024-01-07 02:00:00+00:00,16.845499,0.0,7.69592,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 03:00:00+00:00,15.2955,0.0,3.96,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 04:00:00+00:00,14.2455,0.0,2.3051248,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 05:00:00+00:00,13.0955,0.0,2.5959969,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 06:00:00+00:00,13.195499,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 07:00:00+00:00,12.8455,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 08:00:00+00:00,12.3955,0.0,2.4149535,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 09:00:00+00:00,11.5955,0.0,2.0991426,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 10:00:00+00:00,11.5455,0.0,1.609969,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 11:00:00+00:00,11.5455,0.0,1.5273507,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 12:00:00+00:00,11.3955,0.0,0.5091169,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 13:00:00+00:00,11.0455,0.0,1.484318,0.0,0.0,0.0,0.0,0.0,1
2024-01-07 14:00:00+00:00,10.8455,0.0,0.8049845,0.0,0.05,1.0,0.0,0.0,1
2024-01-07 15:00:00+00:00,11.3455,0.0,1.9386592,0.55,0.9,1.0,0.0,1.0,1
2024-01-07 16:00:00+00:00,13.0955,0.0,1.1384199,1.75,2.5,1.0,0.0,7.0,1
2024-01-07 17:00:00+00:00,15.7455,0.0,1.2979984,4.1,4.3,1.0,968.49817,51.0,1
2024-01-07 18:00:00+00:00,16.5455,0.0,1.8,5.7,5.75,1.0,2352.7185,92.0,1
2024-01-07 19:00:00+00:00,17.7455,0.0,0.71999997,6.2,6.5,1.0,0.0,28.0,1
2024-01-07 20:00:00+00:00,18.5455,0.0,2.0991426,5.45,6.5,1.0,0.0,26.0,1
2024-01-07 21:00:00+00:00,19.9955,0.0,4.6938257,5.3,5.7,1.0,1731.891,78.0,1
2024-01-07 22:00:00+00:00,21.3955,0.0,11.808878,3.9,4.3,1.0,3600.0,200.0,1
2024-01-07 23:00:00+00:00,21.2955,0.0,13.0447235,2.15,2.5,1.0,3600.0,157.0,1
2024-01-08 00:00:00+00:00,20.4955,0.0,16.279802,0.85,0.85,1.0,3600.0,55.0,1
2024-01-08 01:00:00+00:00,18.8955,0.0,9.028754,0.05,0.05,0.0,0.0,3.0,1
2024-01-08 02:00:00+00:00,17.2455,0.0,5.04,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 03:00:00+00:00,15.8455,0.0,2.5455842,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 04:00:00+00:00,14.695499,0.0,2.3051248,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 05:00:00+00:00,13.6455,0.0,2.0991426,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 06:00:00+00:00,12.8955,0.0,1.2979984,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 07:00:00+00:00,12.4955,0.0,1.2979984,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 08:00:00+00:00,12.3955,0.0,2.5455842,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 09:00:00+00:00,11.8455,0.0,2.9024127,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 10:00:00+00:00,11.695499,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 11:00:00+00:00,11.5455,0.0,1.484318,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 12:00:00+00:00,11.3955,0.0,2.5455842,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 13:00:00+00:00,10.8955,0.0,2.4149535,0.0,0.0,0.0,0.0,0.0,1
2024-01-08 14:00:00+00:00,10.5455,0.0,2.1897945,0.05,0.05,1.0,0.0,4.0,1
2024-01-08 15:00:00+00:00,12.2955,0.0,0.71999997,0.85,0.85,1.0,3600.0,81.0,1
2024-01-08 16:00:00+00:00,15.7455,0.0,0.71999997,2.25,2.5,1.0,3600.0,229.0,1
2024-01-08 17:00:00+00:00,18.6955,0.0,7.289444,3.75,4.25,1.0,3600.0,349.0,1
2024-01-08 18:00:00+00:00,21.5455,0.0,18.455048,5.4,5.65,1.0,3600.0,400.0,1
2024-01-08 19:00:00+00:00,22.9955,0.0,25.38702,5.75,6.45,1.0,3600.0,433.0,1
2024-01-08 20:00:00+00:00,23.7955,0.0,27.438046,6.45,6.45,1.0,3600.0,423.0,1
2024-01-08 21:00:00+00:00,23.9455,0.0,29.28418,5.25,5.7,1.0,3600.0,347.0,1
2024-01-08 22:00:00+00:00,23.7955,0.0,28.412645,4.1,4.3,1.0,3600.0,286.0,1
2024-01-08 23:00:00+00:00,22.9455,0.0,27.086262,2.35,2.5,1.0,3600.0,207.0,1
2024-01-09 00:00:00+00:00,21.8955,0.0,20.833395,0.85,0.85,1.0,3600.0,77.0,1
2024-01-09 01:00:00+00:00,19.9455,0.0,14.799459,0.05,0.05,0.0,0.0,2.0,1
2024-01-09 02:00:00+00:00,18.1455,0.0,11.043261,0.0,0.0,0.0,0.0,0.0,1
2024-01-09 03:00:00+00:00,16.5455,0.0,8.209263,0.0,0.0,0.0,0.0,0.0,1
2024-01-09 04:00:00+00:00,15.445499,0.0,5.771239,0.0,0.0,0.0,0.0,0.0,1
2024-01-09 05:00:00+00:00,14.5455,0.0,3.671294,0.0,0.0,0.0,0.0,0.0,1
2024-01-09 06:00:00+00:00,13.445499,0.0,2.6208394,0.0,0.0,0.0,0.0,0.0,1
2024-01-09 07:00:00+00:00,12.0455,0.0,3.096837,0.0,0.0,0.0,0.0,0.0,1
2024-01-09 08:00:00+00:00,10.9955,0.0,3.6,0.0,0.0,0.0,0.0,0.0,1
